"Reference","Value"
"C1","100n"
"C2","10n"
"C3","100n"
"C4","10n"
"C5","100n"
"C6","10n"
"C7","100n"
"C8","100n"
"C9","100n"
"D1","1N4148"
"D2","1N4148"
"D3","1N4148"
"D4","1N4148"
"D5","1N4148"
"D6","1N4148"
"D7","1N4148"
"D8","1N4148"
"D9","1N4148"
"D10","1N4148"
"D11","1N4148"
"D12","1N4148"
"D13","1N4148"
"J1","Conn_01x04"
"J2","Conn_01x04"
"J3","Conn_01x02"
"J4","Conn_01x03"
"J5","Conn_01x03"
"J6","Conn_01x03"
"J7","Conn_01x02"
"J8","Conn_01x03"
"J9","Conn_01x02"
"J10","Conn_01x02"
"J11","Conn_01x02"
"J12","Conn_01x02"
"J13","Presa IEC pannello"
"J14","Alimentatore 230Vac/12Vdc"
"J15","13V_VDD_VENTOLE"
"J16","Conn_01x02"
"K1","SANYOU SYS1-S-112L"
"Q1","BC547B"
"Q2","2N7000"
"Q3","2N7000"
"Q4","2N7000"
"Q5","2N7000"
"Q6","BC547B"
"R1","4k7"
"R2","4k7"
"R3","4k7"
"R4","4k7"
"R5","4k7"
"R6","100R"
"R7","10k"
"R8","10k"
"R9","1k"
"R10","2k4"
"R11","27k"
"R12","3k"
"R13","100R"
"R14","100R"
"R15","14k7 1%"
"R16","14k7 1%"
"R17","45k3 1%"
"R18","45k3 1%"
"R19","4k7"
"R20","4k7"
"R21","4k7"
"R22","4k7"
"R23","10k"
"R24","1k2"
"R25","10k"
"R26","10k"
"RV1","10k"
"RV2","10k"
"U1","Adafruit ADS1115"
"U2","Adafruit ADS1115"
"U3","Level Shifter CYT1076"
"U4","Level Shifter CYT1076"
"U5","MCP4725 breakout module"
"U6","LM336Z5"
"U7","LM35-LP"
"U8","LMC6484"
"U9","MCP602"
"U10","LM336Z25"
"U11","MCP602"
"U12","RP2040-ZERO"
"U13","DCDC_Converter 3,2-40V/1,25-35V"
